X,Y,OBJECTID,ID,EXTERNO,DIRECCION,LOCALIDAD,EQUIPO,NUMEROINTERSECCIONES_POREQUIPO,UBICACIONEQUIPO,FECHAINSTALACION,OPERACIONACTUAL,FUNCIONAMIENTO,IMPLEMENTACION,TIPOINTERSECCION,GRUPOSENALES,TOTALGRUPOSENALES,NUMEROFASES,GRUPOSVEHICULARES,GRUPOS_BRT,GRUPOSPEATONALES,GRUPOSSONOROS,GRUPOSCICLISTAS,CANTIDADCONTADORES,FUNCIONDETECTORES,ZONAAUTOMATICA
-74.09911489,4.570866088,1010,1271,3832,AK 10 X CL 28 S,SAN CRISTOBAL,ACTROS,SENCILLA,SI,2012/08/31 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",8,8,2,"1A,2A","1B,2B","21,22 (Exc)","721, 722",NO,0,Activación de sonoro,3606
-74.12806404,4.59090217699998,1011,1384,3833,KR 50 X DG 40B S,TUNJUELITO,C900,SENCILLA,SI,2014/07/10 00:00:00+00,NORMAL,BT-TA,DEFINITIVA,EXCLUSIVA PEATONAL,6,6,2,"1,2",N/A,"21,22 (Exc)",722,NO,0,Fases por demanda peatonal sonoro,3524
-74.12835031,4.58828508300002,1012,1385,3834,KR 50 X DG 42 S,TUNJUELITO,C900,SENCILLA,SI,2014/07/10 00:00:00+00,NORMAL,BT-TA,DEFINITIVA,"VEHICULAR, PEATONAL",9,9,2,"1,2,94",N/A,"21,22,294","721, 722, 7294",NO,0,"Brechas, Fases por demanda, Activación de sonoro",3524
-74.09918011,4.56656664600001,1013,1219,3835,KR 7A X CL 31 S,SAN CRISTOBAL,C900,SENCILLA,SI,2011/05/26 00:00:00+00,NORMAL,RP-TF,DEFINITIVA,"VEHICULAR, PEATONAL",16,16,3,"1,2,3,4,11,12",N/A,"21,22,23,24,33,34","721, 722, 724, 733",NO,0,Activación de sonoro,3606
-74.09818985,4.56546470000001,1014,1221,3837,KR 5A X CL 31 S,SAN CRISTOBAL,C900,SENCILLA,SI,2011/06/23 00:00:00+00,NORMAL,RP-TA,DEFINITIVA,"VEHICULAR, PEATONAL",7,11,2,"1,3,11",N/A,"21,23,211,391","721, 723, 7211, 7391",NO,0,Activación de sonoro,3606
-74.12996856,4.60290223999999,1015,798,3840,KR 52A X CL 37 S,PUENTE ARANDA,C900,DOBLE,SI,1993/12/21 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL, CICLISTA",7,15,4,"1,4,13",N/A,"21,213 (Reg)",N/A,"41, 44",4,N/A,3502
-74.13072528,4.60368544300002,1016,801,3840,KR 52C X CL 37 S,PUENTE ARANDA,NO,DOBLE,NO,1993/12/21 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",8,15,3,"1A,2,3,14",N/A,"21A,22,23,214 (Reg)",N/A,NO,8,N/A,3502
-74.13316568,4.599969988,1017,810,3842,KR 52C X CL 40 S,PUENTE ARANDA,C900,SENCILLA,SI,1994/11/29 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",4,4,3,"1,3",N/A,"21,33",N/A,NO,0,N/A,3502
-74.11558259,4.51306606000003,1018,1320,3843,AK 14 X CL 76 S,USME,C900,SENCILLA,SI,2013/10/08 00:00:00+00,NORMAL,R-TF,DEFINITIVA,"VEHICULAR, PEATONAL",7,7,3,"1,2,3,4",N/A,"21,23,24",N/A,NO,0,Cola - Siguiente Intersección,3626
-74.13466332,4.59767512899998,1019,816,3844,KR 52C X CL 42 S,PUENTE ARANDA,C900,SENCILLA,SI,1994/01/29 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",4,4,2,"1,4",N/A,"21,24",N/A,NO,0,N/A,3502
-74.11698066,4.51629653600003,1020,1047,3845,AK 14 X CL 74A S,USME,C900,SENCILLA,SI,2008/01/22 00:00:00+00,NORMAL,R-TF,DEFINITIVA,EXCLUSIVA PEATONAL,4,4,2,"1,2",N/A,"21,22",N/A,NO,0,N/A,3625
-74.14213422,4.58929232999998,1021,1108,3846,KR 54 X DG 52 S,TUNJUELITO,C900,SENCILLA,SI,2004/07/14 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",7,7,3,"1,2,3,93",N/A,"22,23,31",N/A,NO,0,N/A,3514
-74.13588343,4.59198415999998,1022,1093,3847,KR 52A X DG 47A S,TUNJUELITO,C900,SENCILLA,SI,2004/09/09 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",4,4,2,"2,4",N/A,"22,24",N/A,NO,0,N/A,3515
-74.13845599,4.59155072099998,1023,1099,3848,KR 53 X DG 49 S,TUNJUELITO,C900,SENCILLA,SI,1994/02/12 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",15,15,4,"1,2,3",N/A,"21,22,23,31,32,33",721 722 723 731 732 (Desconectados),NO,0,N/A,3503
-74.13827138,4.59246571699998,1024,1097,3849,KR 53 X DG 47A S,TUNJUELITO,C900,DOBLE,SI,1995/03/05 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",9,16,3,"2,3,11",N/A,"22,23,32,33,211,311",N/A,NO,0,N/A,3503
-74.13805965,4.59337196600001,1025,1646,3849,KR 53 X DG 46A S,TUNJUELITO,NO,DOBLE,NO,2023/04/03 00:00:00+00,PMT,BT-TF,PROVISIONAL_PMT,"VEHICULAR, PEATONAL",7,16,3,"1,12,4",N/A,"21,24,34,312",N/A,NO,0,N/A,3503
-74.13838338,4.58979135599998,1026,1098,3850,TV 44 X CL 50B S,TUNJUELITO,NO,DOBLE,NO,2000/09/09 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",7,13,3,"2,4,13",N/A,"22,24,32,313",N/A,NO,0,N/A,3503
-74.13877103,4.58961876000001,1027,1101,3850,TV 44 X CL 51 S,TUNJUELITO,C900,DOBLE,SI,2000/09/09 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",6,13,3,"1,3,7,14",N/A,"21,23",N/A,NO,0,N/A,3503
-74.1416367,4.58811367099997,1028,1107,3851,TV 44 X KR 54 Y CL 53A S,TUNJUELITO,C900,SENCILLA,SI,2004/04/16 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",7,7,3,"1,3,4,94",N/A,"21,23,294",N/A,NO,0,N/A,3514
-74.1415407,4.59314606999999,1029,1106,3852,KR 54 X DG 47A S,TUNJUELITO,C900,DOBLE,SI,2004/07/14 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",9,17,2,"1,1A,12",N/A,"21,21A,31A","721,721A,731A",NO,0,Activación de sonoro,3514
-74.14174349,4.59221033300003,1030,1645,3852,KR 54 X DG 49 S,TUNJUELITO,NO,DOBLE,NO,2023/04/04 00:00:00+00,PMT,BT-TF,PROVISIONAL_PMT,"VEHICULAR, PEATONAL",8,17,3,"2,3,5,11",N/A,"22,23,25,211",N/A,NO,0,N/A,3514
-74.120639,4.54388799999998,1031,1052,3853,AV CARACAS X CL 56 S,USME,C900,SENCILLA,SI,1993/12/30 00:00:00+00,PMT,BT-TA,DEFINITIVA,"VEHICULAR, PEATONAL",21,21,3,"1A,2A,94,101","1B,2B","21,22,31,32,294, 2101","721, 722,731, 732, 7294, 72101","41,42,4111",0,Fases por demanda peatonal sonoro,3616
-74.11402728,4.50783927200001,1032,1041,3854,AK 14 X CL 84 S,USME,C900,SENCILLA,SI,1993/12/07 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",13,13,5,"1,2,3,4,7,8,63",N/A,"22,23,24,28,33,34",N/A,NO,0,"Conteo, Brechas, Fases por demanda vehicular",3626
-74.14906323,4.57072931599998,1033,1114,3676,KR 32 X AC 61 S,CIUDAD BOLIVAR,C900,SENCILLA,SI,2004/12/15 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,EXCLUSIVA PEATONAL,6,6,2,"1,2",N/A,"21,22 (Exc)",722,NO,0,Fases por demanda peatonal sonoro,3510
